,Прибыль в расчете на 1 работника
18895,856187.5
11485,-590000.0
3437,1105388.888888889
19030,-341288.46153846156
3488,-446875.0
12378,23000.0
13604,530480.0
10625,2193791.6666666665
9655,7000.0
18822,2819470.8095297236
10406,392190.4761904762
9856,1218750.0
9035,-110200.0
19058,-55352.112676056335
5510,-31851.063829787236
10344,1758666.6666666667
12126,2819470.8095297236
15895,2094916.6666666667
11306,1779000.0
7542,314789.4736842105
2653,147125.0
5134,1325600.0
8459,-7142.857142857143
7724,79500.0
13891,25700.0
17492,366570.0
14184,349425.0
10370,1100000.0
719,892500.0
75,107000.0
14869,749272.7272727273
3382,2819470.8095297236
209,427500.0
18906,368540.54054054053
4485,-91352.94117647059
7760,1312888.888888889
17366,323708.3333333333
5301,1208500.0
16925,287697.8281397545
7776,97230.76923076923
8515,168562.5
19803,-803250.0
14793,2819470.8095297236
7573,577093.023255814
1364,1667200.0
2580,1615393.9393939395
15020,938500.0
2180,-656000.0
15816,1597333.3333333333
14902,32000.0
10937,-247153.84615384616
747,1395500.0
16556,558304.3478260869
749,47333.333333333336
11297,2049600.0
16065,-132765.95744680852
19431,2819470.8095297236
18855,-462333.3333333333
16391,-852275.7575757576
2179,2819470.8095297236
11128,5283.018867924528
1165,97444.44444444444
3688,297090.9090909091
3845,316000.0
14077,381000.0
19629,407666.6666666667
650,-40000.0
12943,-21333.333333333332
15831,-120069.30693069307
477,2028000.0
4780,287333.3333333333
16008,71666.66666666667
19274,132500.0
5547,2036631.5789473683
12794,2819470.8095297236
11896,156666.66666666666
12540,-131177.4193548387
17479,2819470.8095297236
15542,273214.28571428574
3923,1381.4432989690722
16182,2211666.6666666665
16049,26400.0
9214,211666.66666666666
17706,201333.33333333334
7097,-315666.6666666667
14409,585947.3684210526
15085,519026.3157894737
10990,-143731.884057971
5017,1043955.5555555555
8335,827264.7058823529
13870,-53655.737704918036
714,2384880.2083333335
14196,2506500.0
18119,1229181.8181818181
3550,1310024.5398773006
5924,2229800.0
19526,-852275.7575757576
18604,485666.6666666667
12824,3162.7906976744184
4300,21500.0
17720,53333.333333333336
18389,50500.0
13463,4000.0
4901,-88000.0
18650,2819470.8095297236
11462,194773.10061601643
9045,18958.904109589042
16567,50000.0
3933,908250.0
10864,-78777.77777777778
9407,91000.0
7746,2819470.8095297236
12635,-451000.0
5823,1024707.6923076923
8665,2135240.0
1847,21500.0
5643,73333.33333333333
9197,-67000.0
15877,668928.5714285715
5694,1082928.5714285714
7218,175400.0
13989,-852275.7575757576
12610,-133340.5017921147
3273,-52666.666666666664
5191,17500.0
14763,1216625.0
19971,2819470.8095297236
12469,339200.0
17012,-117000.0
16184,2819470.8095297236
6869,399800.0
13181,1734283.0188679246
883,2690662.698412698
86,237000.0
5654,360600.0
19481,-74000.0
3232,-687500.0
6422,-788461.5384615385
9974,556333.3333333334
11268,-852275.7575757576
17234,2819470.8095297236
13750,248434.78260869565
19445,506333.3333333333
6654,92000.0
11851,-13000.0
3463,389315.7894736842
11901,2819470.8095297236
19259,37666.666666666664
16177,618920.0
805,2141866.6666666665
19630,-87333.33333333333
3729,617343.1952662722
9554,21352.941176470587
8621,-840200.0
6431,1909.090909090909
13439,39333.333333333336
11340,275724.1379310345
15640,2819470.8095297236
6951,1451857.142857143
3214,2460000.0
2707,2819470.8095297236
18246,1830000.0
13563,22400.0
6195,317818.1818181818
19827,1384598.0392156863
5324,2819470.8095297236
5362,1083.3333333333333
18938,1078089.2857142857
5566,1377473.6842105263
8247,1380357.142857143
16813,807050.0
19264,1449102.8037383177
5130,608285.7142857143
12850,609655.737704918
1095,10000.0
9838,-178750.0
17034,2819470.8095297236
674,263200.0
9442,47750.0
12558,322831.16883116885
16303,14000.0
12501,13333.333333333334
6940,119302.63157894737
10013,251500.0
12948,70000.0
14579,-13489.795918367347
9675,2405000.0
17974,2819470.8095297236
1690,893714.2857142857
11940,997117.6470588235
10167,-85235.29411764706
14014,1370150.0
6445,1729333.3333333333
10533,-852275.7575757576
890,17000.0
11188,439400.0
5881,2819470.8095297236
7445,-161903.2258064516
4827,370800.0
1091,2819470.8095297236
8291,-237000.0
17254,1140789.4736842106
2868,-852275.7575757576
16161,430326.5306122449
17671,180000.0
2440,25000.0
5233,31833.333333333332
2206,648200.0
8666,499038.46153846156
2468,50400.0
8456,363956.52173913043
18556,7500.0
3841,1064125.0
8915,900538.4615384615
12250,667000.0
3833,548000.0
7258,2819470.8095297236
10950,2375288.888888889
5999,-44800.0
8107,-376774.1935483871
1715,-281822.22222222225
3230,1102461.5384615385
15824,2819470.8095297236
17048,2819470.8095297236
5689,856642.8571428572
17540,-61000.0
16278,2819470.8095297236
1421,2589097.56097561
9970,-1000.0
3261,-432800.0
9182,2819470.8095297236
7062,707750.0
12266,739000.0
3175,38500.0
16224,468418.1818181818
11003,89000.0
4317,-852275.7575757576
9759,141000.0
12974,442500.0
6295,707000.0
1821,160428.57142857142
4534,840426.4705882353
2015,2299333.3333333335
3223,-85000.0
18193,2819470.8095297236
3052,186000.0
48,10000.0
15135,-223333.33333333334
14860,338506.6666666667
4388,-852275.7575757576
14007,2190533.3333333335
7131,2819470.8095297236
1755,175313.4328358209
12215,800500.0
16772,308280.70175438595
2449,2819470.8095297236
2783,616629.6296296297
13164,27000.0
10431,-852275.7575757576
2396,75625.0
4799,953909.0909090909
5980,343000.0
5674,1706333.3333333333
17869,324000.0
5904,1605818.1818181819
287,2819470.8095297236
10336,2707000.0
12962,49750.0
10723,2000.0
2422,142000.0
493,34225.694444444445
10396,808382.9787234042
11424,550612.9032258064
18611,1432678.2608695652
5786,58750.0
1740,-208259.25925925927
4762,-235500.0
2238,166500.0
15384,266153.8461538461
5266,-483941.17647058825
16880,422517.1568627451
4461,63553.1914893617
6624,96580.78602620088
16560,915004.6728971963
10858,250000.0
14471,524000.0
15546,-27200.0
623,176600.0
7291,125000.0
8255,2819470.8095297236
8364,-70000.0
9141,76000.0
11062,-290265.306122449
6870,2819470.8095297236
7064,2819470.8095297236
18222,-852275.7575757576
11634,91000.0
783,2819470.8095297236
14024,1348729.1666666667
4742,441000.0
7822,-195000.0
19604,1474923.076923077
17341,2819470.8095297236
7399,196750.0
9000,2422705.882352941
12124,29125.0
6111,24625.0
18103,39862.74509803922
14852,-40000.0
15056,-478897.6377952756
12276,-3735.8490566037735
3983,1491000.0
16743,-514750.0
11562,284989.406779661
2189,-852275.7575757576
15627,2287500.0
11546,216586.2068965517
15411,286333.3333333333
3341,1318375.0
15764,1512380.9523809524
18797,22117.647058823528
10797,2210833.3333333335
6388,-852275.7575757576
10039,2773500.0
15600,1628375.0
10818,-21000.0
18313,51250.76452599389
18121,479625.0
14221,-667000.0
6044,711500.0
17150,-852275.7575757576
15869,794000.0
5720,1139250.0
17482,1908269.2307692308
17748,1009155.1993745114
19638,385854.1666666667
18433,553451.6129032258
15381,-81500.0
2148,53592.10526315789
18691,694764.0449438202
8982,575875.0
6781,83000.0
8911,337750.0
16771,10000.0
4215,2819470.8095297236
19613,1136722.2222222222
3430,2819470.8095297236
6875,-852275.7575757576
9555,2487629.0322580645
2649,1562777.7777777778
3840,22375.0
583,1369000.0
6887,533666.6666666666
706,2301333.3333333335
